fin_year,stop_id,stop_name,stop_lat,stop_long,network,pax_annual,pax_weekday,pax_norm_weekday,pax_sch_hol_weekday,pax_saturday,pax_sunday,pax_pre_am_peak,pax_am_peak,pax_interpeak,pax_pm_peak,pax_pm_late,stop_name_clean,stop_name_suffix,is_border_nsw
FY19-20,20017,Merri,-37.77784668,144.9929725,metro,153450,500,550,400,300,200,50,250,100,150,50,Merri,,False
FY19-20,20019,Rushall,-37.78321711,144.9924071,metro,124600,400,450,300,250,200,50,200,100,100,50,Rushall,,False
FY19-20,20021,Sunshine,-37.78853633,144.8328782,metro,1753250,5700,5850,5300,3300,2400,500,2000,1500,1550,300,Sunshine,,False
FY19-20,20022,Tottenham,-37.7992509,144.8629449,metro,442450,1450,1550,1250,750,550,150,750,350,250,50,Tottenham,,False
FY19-20,20023,West Footscray,-37.8018087,144.8853248,metro,515950,1700,1800,1400,900,600,150,1000,350,250,50,West Footscray,,False
FY19-20,20024,Middle Footscray,-37.8025047,144.8914721,metro,191600,600,650,500,400,250,50,350,150,100,50,Middle Footscray,,False
FY19-20,20025,Footscray,-37.80108298,144.9031992,metro,4038750,13350,14050,11100,7550,4800,600,4100,3800,4650,900,Footscray,,False
FY19-20,20026,South Kensington,-37.79953087,144.925469,metro,304750,1050,1050,900,500,350,50,500,250,200,50,South Kensington,,False
FY19-20,20027,Flemington Racecourse,-37.78720192,144.9075887,metro,154650,100,150,50,1700,150,50,50,50,50,50,Flemington Racecourse,,False
FY19-20,20028,Showgrounds,-37.7835,144.915,metro,143150,300,100,950,500,650,50,50,50,50,50,Showgrounds,,False
FY19-20,20030,Broadmeadows,-37.68304926,144.9196132,metro,810850,2600,2750,2250,1600,1200,200,700,850,850,150,Broadmeadows,,False
FY19-20,20031,Jacana,-37.69513079,144.9158505,metro,221650,700,700,650,450,400,100,350,200,100,50,Jacana,,False
FY19-20,20032,Glenroy,-37.70453633,144.9172204,metro,1037400,3350,3450,3050,2000,1500,400,1550,850,550,100,Glenroy,,False
FY19-20,20033,Oak Park,-37.71794973,144.9215188,metro,479050,1600,1650,1400,850,650,200,900,300,200,50,Oak Park,,False
FY19-20,20034,Pascoe Vale,-37.73075596,144.9281956,metro,545050,1800,1850,1600,950,650,200,1050,350,200,50,Pascoe Vale,,False
FY19-20,20035,Strathmore,-37.74359132,144.9273157,metro,318600,1100,1150,900,450,300,100,650,200,150,50,Strathmore,,False
FY19-20,20036,Glenbervie,-37.74720985,144.9209387,metro,301950,1050,1050,900,450,300,100,650,150,100,50,Glenbervie,,False
FY19-20,20037,Essendon,-37.7560117,144.9161975,metro,1298700,4300,4500,3700,2350,1550,500,2300,750,850,150,Essendon,,False
FY19-20,20038,Moonee Ponds,-37.76570666,144.9191607,metro,776300,2550,2650,2250,1500,1000,150,1150,600,600,150,Moonee Ponds,,False
FY19-20,20039,Ascot Vale,-37.77530609,144.9218207,metro,488800,1650,1700,1400,850,600,150,1000,300,200,50,Ascot Vale,,False
FY19-20,20040,Newmarket,-37.78732767,144.9289785,metro,675600,2200,2300,1900,1300,900,150,1100,500,450,100,Newmarket,,False
